source,target,sign,mechanism
JAK3,APOPTOSIS_INHIBITED,-1,NaN
JAK1,STAT3,1,binding;phosphorylation
JAK3,PROLIFERATION,1,NaN
KIT,PIK3R1,1,binding
LCK,PRKCD,1,phosphorylation
MAPK14,MAPKAPK2,1,phosphorylation
LYN,SOCS1_INHIBITED,-1,phosphorylation
MAPK8,SP1,1,phosphorylation
MATK,LYN,1,phosphorylation
MET,PTK2,1,phosphorylation
MET,RANBP9,1,binding
NEK1,ATR,1,binding
RPS6KA1,DAPK1,1,phosphorylation
PRKACA,ERBB2,1,phosphorylation
PRKACA,LCK,1,phosphorylation
PRKACA,PPP2R5D,1,phosphorylation
PRKACA,SRC,1,phosphorylation
CSNK1A1,MYC,1,phosphorylation
PRKCE,FGFR2,1,phosphorylation
RANBP9,DYRK1B_INHIBITED,-1,binding
RELA,MET,1,transcriptional regulation
FAM83G,CSNK1A1,1,binding
RPS6KA3,RELA,1,phosphorylation
SP1,MET,1,transcriptional regulation
SRC,BMX,1,phosphorylation
SRC,DDR2,1,phosphorylation
SRC,EPITHELIAL_MESENCHYMAL_TRANSITION,1,NaN
SRC,ERBB2,1,phosphorylation
SRC,GRK2_INHIBITED,-1,phosphorylation
SRC,IGF1R,1,phosphorylation
SRC,KIT,1,phosphorylation
SRC,SOCS1_INHIBITED,-1,phosphorylation
SRC,YAP1,1,phosphorylation
SSTR2,GNAI1,1,binding
STK3,LATS1_INHIBITED,-1,phosphorylation
STK4,MOB1A,1,phosphorylation
TEK,PIK3R1,1,binding
PRKD1,FAM83G,1,phosphorylation
ULK1,RIPK1_INHIBITED,-1,phosphorylation
TYK2,PROLIFERATION,1,NaN
SRC,ESR1,1,phosphorylation
SRC,RET,1,phosphorylation
GSK3A,STAT3,1,phosphorylation
HCK,STAT5A,1,phosphorylation
PAK4,LIMK1,1,phosphorylation
PAK4,LIMK2,1,phosphorylation
PPP1R8,PPP1CA_INHIBITED,-1,binding
PRKAR1A,PRKACA_INHIBITED,-1,binding
DYRK2,TBK1_INHIBITED,-1,phosphorylation
HIPK2,APOPTOSIS_INHIBITED,-1,NaN
MTORC2,PRKCE,1,phosphorylation
LCK,DEF6,1,phosphorylation
LCK,MAPK14,1,phosphorylation
POU5F1,CDX2_INHIBITED,-1,transcriptional regulation
STAT5A,APOPTOSIS_INHIBITED,-1,NaN
ERG,MYC,1,transcriptional regulation
