source,target,sign,mechanism
MAPK8,PROLIFERATION,1,NaN
MYC,CDK4,1,transcriptional regulation
MYC,CDK6,1,transcriptional regulation
CHUK,NFKB_P65_P50_INHIBITED,-1,phosphorylation
SMURF1,BMPR2_INHIBITED,-1,ubiquitination
MAPK1,RAF1_INHIBITED,-1,phosphorylation
NLK,PROLIFERATION,1,NaN
CDK1,EEF2K_INHIBITED,-1,phosphorylation
MAPK3,CDK2,1,phosphorylation
ROCK1,PTEN,1,phosphorylation
SOCS1,IRAK1_INHIBITED,-1,binding
MAPK3,E2F1,1,phosphorylation
PRKACA,NCOA3_INHIBITED,-1,phosphorylation
PRKACA,NFKB_P65_P50,1,phosphorylation
PRKACA,RELA,1,phosphorylation
ATR,E2F1,1,phosphorylation
ATR,PRKDC,1,phosphorylation
CDK2,AR,1,phosphorylation
CDK2,CDC7_INHIBITED,-1,phosphorylation
CDK2,CDX2_INHIBITED,-1,phosphorylation
CDK2,GRK2_INHIBITED,-1,phosphorylation
CDK2,MYC,1,phosphorylation
CDK2,NFYA,1,phosphorylation
CDK2,PRKAR1A_INHIBITED,-1,phosphorylation
CDK2,SP1,1,phosphorylation
MAPK1,CDK2,1,phosphorylation
MAPK1,SREBF1,1,phosphorylation
MAPK8,STK4,1,phosphorylation
NFYA,SP1,1,binding
PRKACA,E2F1,1,phosphorylation
PRKDC,POU5F1_INHIBITED,-1,phosphorylation
STK4,LATS1_INHIBITED,-1,phosphorylation
ABL1,CDK5,1,phosphorylation
ABL1,HIPK2,1,phosphorylation
ABL1,MDM2_INHIBITED,-1,phosphorylation
ABL1,YAP1,1,phosphorylation
AMPK,MTOR,1,phosphorylation
CDK1,AR,1,phosphorylation
CDK1,CHEK1,1,phosphorylation
CDK1,FOXM1,1,phosphorylation
CDK1,YAP1,1,phosphorylation
CDK2,APOPTOSIS_INHIBITED,-1,NaN
CDK2,CELL CYCLE EXIT_INHIBITED,-1,NaN
CDK2,CHEK1,1,phosphorylation
CDK2,ESR1_INHIBITED,-1,phosphorylation
CDK2,FOXM1,1,phosphorylation
CDK4,FOXM1,1,phosphorylation
CDK5,CDK5_CDK5R1,1,binding
CDK6,FOXM1,1,phosphorylation
CDK9,AR,1,phosphorylation
CDK9,MDM2_INHIBITED,-1,phosphorylation
CHEK1,E2F3,1,phosphorylation
CXCL1,PRKACA_INHIBITED,-1,binding
ETS2,APOPTOSIS_INHIBITED,-1,NaN
GSK3A,MYC,1,phosphorylation
GSK3A,RELA,1,phosphorylation
HIPK2,PROLIFERATION,1,NaN
HIPK3,FADD_INHIBITED,-1,phosphorylation
MAP3K7,HIPK2,1,phosphorylation
MAP3K7,NFKB1,1,transcriptional regulation
MAP3K7,PRKAA2,1,phosphorylation
MAPK14,APOPTOSIS_INHIBITED,-1,NaN
MAPK14,EIF2S1_INHIBITED,-1,phosphorylation
MAPK14,ESR1_INHIBITED,-1,phosphorylation
MAPK14,PROLIFERATION,1,NaN
MTOR,AR,1,phosphorylation
MTOR,ESR1_INHIBITED,-1,phosphorylation
MTOR,MYC,1,phosphorylation
MTOR,MYCN,1,phosphorylation
MTOR,PROLIFERATION,1,NaN
MTOR,YAP1,1,phosphorylation
MYC,CLK3,1,transcriptional regulation
NFKB1,RELA,1,binding
NLK,ESR1_INHIBITED,-1,phosphorylation
NLK,YAP1,1,phosphorylation
POU5F1,PAX6_INHIBITED,-1,transcriptional regulation
PRKAA2,HIPK2,1,phosphorylation
PRKAA2,MYC,1,phosphorylation
PRKAA2,PINK1,1,phosphorylation
PRKAA2,TFAP2A,1,phosphorylation
STK38,AAK1,1,phosphorylation
STK38,YAP1,1,phosphorylation
X17BETA_ESTRADIOL,ESR2,1,chemical activation
ATR,CHEK1_INHIBITED,-1,phosphorylation
ATR,TP53,1,phosphorylation
CDK4,RUNX3_INHIBITED,-1,phosphorylation
CDK4,TFEB,1,phosphorylation
CDK4,TP53,1,phosphorylation
CDK5,CAMKK2_INHIBITED,-1,phosphorylation
CDK5,FOXO1_INHIBITED,-1,phosphorylation
CDK5,TP53,1,phosphorylation
CDK6,TFEB,1,phosphorylation
CDK6,TP53,1,phosphorylation
GSK3B,PROLIFERATION,1,NaN
HIPK2,APOPTOSIS,1,NaN
HIPK2,CTBP1_INHIBITED,-1,phosphorylation
MTOR,RPS6,1,phosphorylation
MTOR,TFEB,1,phosphorylation
PPP2CA,MAPK3_INHIBITED,-1,dephosphorylation
PPP2CA,TP53,1,dephosphorylation
PRKACA,CAMKK2_INHIBITED,-1,phosphorylation
PRKACA,CDK18,1,phosphorylation
PRKACA,MARK2_INHIBITED,-1,phosphorylation
PRKACA,RAF1_INHIBITED,-1,phosphorylation
RPS6KA1,STK11_INHIBITED,-1,phosphorylation
TP53,APOPTOSIS,1,NaN
TP53,CELL CYCLE EXIT_INHIBITED,-1,NaN
LYN,ABL1,1,phosphorylation
MAPK1,MDM2_INHIBITED,-1,phosphorylation
MAPK1,STK11_INHIBITED,-1,phosphorylation
TRPM7,EEF2K_INHIBITED,-1,phosphorylation
AKT2,STK3_INHIBITED,-1,phosphorylation
MAP3K7,MAP2K4_INHIBITED,-1,phosphorylation
MAP3K7,MAP2K6_INHIBITED,-1,phosphorylation
PRKACA,RCAN1_INHIBITED,-1,phosphorylation
PTEN,PINK1,1,transcriptional regulation
ATR,CHEK2,1,phosphorylation
CDK4,RB1_INHIBITED,-1,phosphorylation
CYP1B1,X17BETA_ESTRADIOL,1,chemical modification
FOXO3,STK11_INHIBITED,-1,transcriptional regulation
ITCH,MAVS_INHIBITED,-1,ubiquitination
MAPK8,ITCH,1,phosphorylation
PRKACA,ESR1_INHIBITED,-1,phosphorylation
PRKACA,NCF1,1,phosphorylation
PRKACA,NFKB1,1,phosphorylation
SP1,CYP1B1,1,transcriptional regulation
CDK5,USF2,1,phosphorylation
CYCLIND_CDK4,PROLIFERATION,1,NaN
MAPK1,ESR1_INHIBITED,-1,phosphorylation
MAPK1,STAT5A,1,phosphorylation
ATR,CHEK1,1,phosphorylation
HIPK2,MECP2,1,phosphorylation
MAPK14,EGFR_INHIBITED,-1,phosphorylation
MAPK14,EIF4EBP1_INHIBITED,-1,phosphorylation
YAP1,APOPTOSIS,1,NaN
CDK8,CCNH_INHIBITED,-1,phosphorylation
CHUK,MYC,1,phosphorylation
GSK3A,CAMKK2_INHIBITED,-1,phosphorylation
CDK5,HSP90AA1_INHIBITED,-1,phosphorylation
DNMT1,ESR1_INHIBITED,-1,transcriptional regulation
MAPK3,ESR1_INHIBITED,-1,phosphorylation
MAPK8,APOPTOSIS,1,NaN
STAT1,NFKB_P65_P50_INHIBITED,-1,binding
MAPK14,CASP3_INHIBITED,-1,phosphorylation
MTOR,ULK1,1,phosphorylation
ULK1,PRKAG3_INHIBITED,-1,phosphorylation
CDK1,CDC7_INHIBITED,-1,phosphorylation
CDK1,SREBF1,1,phosphorylation
CHEK1,AURKB,1,phosphorylation
CHEK1,NEK11,1,phosphorylation
FOXO1,SMURF1,1,transcriptional regulation
LRRK2,AUTOPHAGY,1,NaN
PRKACA,FOXO1,1,phosphorylation
PRKACA,LRRK2,1,phosphorylation
PTPN1,MAPK14_INHIBITED,-1,dephosphorylation
PTPN1,PRKCD_INHIBITED,-1,dephosphorylation
STK4,STK38,1,phosphorylation
FLT3,STAT5A,1,phosphorylation
AKT2,APOPTOSIS_INHIBITED,-1,NaN
AKT2,GSK3A_INHIBITED,-1,phosphorylation
CAMK4,RELA,1,phosphorylation
CAMKK2,PRKAA1,1,phosphorylation
CDK4,CYCLIND_CDK4,1,binding
CHEK1,TLK1_INHIBITED,-1,phosphorylation
LATS2,PROLIFERATION,1,NaN
PAK1,BRAF,1,phosphorylation
PAK5,RELA,1,phosphorylation
PRKAA1,CSNK1E_INHIBITED,-1,phosphorylation
PRKACA,RET_INHIBITED,-1,phosphorylation
CHUK,MTOR,1,phosphorylation
CSNK1A1,GLI2_INHIBITED,-1,phosphorylation
CSNK1A1,SRPK2,1,phosphorylation
MAPK1,MAPKAPK2,1,phosphorylation
MARK2,ARHGEF2_INHIBITED,-1,phosphorylation
MTOR,EEF2K_INHIBITED,-1,phosphorylation
MTOR,PRKCE,1,phosphorylation
MTOR,ULK1_INHIBITED,-1,phosphorylation
MTOR,ULK2_INHIBITED,-1,phosphorylation
PRKCE,MET_INHIBITED,-1,phosphorylation
CSNK1A1,ATM_INHIBITED,-1,phosphorylation
MTOR,PKN2_INHIBITED,-1,phosphorylation
CSNK2A1,ESR1_INHIBITED,-1,phosphorylation
MAPK1,LCK_INHIBITED,-1,phosphorylation
NLK,NCOA3_INHIBITED,-1,phosphorylation
CDK2,APOPTOSIS,1,NaN
CDK2,TTK,1,phosphorylation
