source,target,sign,mechanism
PTK2B,TGFB1I1_INHIBITED,-1,phosphorylation
FGR,RIPK2,1,phosphorylation
HIF1A,PDK1,1,transcriptional regulation
HIF_1_COMPLEX,PDK1,1,transcriptional regulation
JAK1,STAT1,1,phosphorylation
MAPK3,ERBB2,1,phosphorylation
MAP3K7,MAP3K14,1,phosphorylation
PAX3,FGFR4,1,transcriptional regulation
PRKACA,MORC2,1,phosphorylation
PRKACA,PTPN11_INHIBITED,-1,phosphorylation
PRKCA,PRKD1_INHIBITED,-1,phosphorylation
PTEN,STAT5A_INHIBITED,-1,dephosphorylation
RPS6KA3,MAP3K5_INHIBITED,-1,phosphorylation
MAPK14,RUNX2,1,phosphorylation
STK4,FOXO3,1,phosphorylation
NEK8,MYC,1,phosphorylation
PRKCA,PTPN6_INHIBITED,-1,phosphorylation
PRKACA,GSK3B_INHIBITED,-1,phosphorylation
STK11,MARK2,1,phosphorylation
STK11,YAP1,1,phosphorylation
ATF4,DYRK3_INHIBITED,-1,transcriptional regulation
AURKA,AR,1,phosphorylation
AURKA,PLK1,1,phosphorylation
AURKA,YAP1,1,phosphorylation
ABL1,PRKD1,1,phosphorylation
AXIN1,BMPR1A_INHIBITED,-1,ubiquitination
CAMK4,PROLIFERATION,1,NaN
DUSP16,MTOR_INHIBITED,-1,dephosphorylation
GNAS,AXIN1,1,binding
HCK,ABL1,1,phosphorylation
JAK1,TYK2,1,phosphorylation
MAPK1,ERBB2,1,phosphorylation
MAPK1,RPS6KA3,1,phosphorylation
MAPK8,FOXO4,1,phosphorylation
MAPK8,HSF1_INHIBITED,-1,phosphorylation
MOB1A,APOPTOSIS_INHIBITED,-1,NaN
MOB1A,PROLIFERATION,1,NaN
PRKCD,FOSL1,1,phosphorylation
NEK2,NEK11,1,phosphorylation
NEK2,NPM1,1,phosphorylation
NEK2,YAP1,1,phosphorylation
NRBF2,PIK3C3_INHIBITED,-1,binding
PLK1,HSF1_INHIBITED,-1,phosphorylation
PRKACA,AURKA,1,phosphorylation
PRKACA,EEF2K,1,phosphorylation
PRKACA,SNAI2_INHIBITED,-1,phosphorylation
SMURF1,BMPR1A_INHIBITED,-1,ubiquitination
SMURF1,TGFBR1_INHIBITED,-1,polyubiquitination;ubiquitination
MAPKAPK2,LIMK1,1,phosphorylation
STK3,NEK2,1,phosphorylation
PAK1,LIMK1,1,phosphorylation
STK4,FOXO4,1,phosphorylation
STK3,YAP1,1,phosphorylation
RET,MAPK1,1,phosphorylation
ROCK1,LIMK1,1,phosphorylation
VCB_CUL2,PRKCI_INHIBITED,-1,polyubiquitination
VHL,VCB_CUL2,1,binding
BLVRA,PRKCB,1,phosphorylation
MAPK3,TSC2_INHIBITED,-1,phosphorylation
NEK2,TP53,1,phosphorylation
CCNA2,CYCLINA2_CDK2,1,binding
RIPK1,APOPTOSIS,1,NaN
IGF1R,IRS2,1,phosphorylation
CYCLINA2_CDK2,SP1,1,phosphorylation
PRKCD,RPS6KB2,1,phosphorylation
DUSP7,MAPK1_INHIBITED,-1,dephosphorylation
LYN,PRKCD_INHIBITED,-1,phosphorylation
MAPK3,STAT5A,1,phosphorylation
MYC,CCNA2,1,transcriptional regulation
PRKACA,TP53,1,phosphorylation
PRKCD,FBXO25_INHIBITED,-1,phosphorylation
